subject,number,section,times,locations,rating,workload
ACCT,270,1,MW 8.45-10.00,,3.43,3.14
AFAM,050,1,1 HTBA,,,
AFAM,146,1,TTh 10.30-11.20 + 1,GR109 ROSENFELD,3.42,2.29
AFAM,162,1,TTh 11.35-12.25 + 1,LC 102,4.0,3.11
AFAM,164,1,MW 14.30-15.20 + 1,GR109 ROSENFELD,,
AFAM,172,1,TTh 10.30-11.20 + 1,LUCE 101,4.05,3.23
AFAM,182,1,1 HTBA,,,
AFAM,184,1,MW 13.30-14.20 + 1,LORIA 351,3.98,3.03
AFAM,186,1,TTh 16.00-17.15,WTS A60,3.61,2.99
AFAM,198,1,MW 11.35-12.25 + 1,LC 317,3.56,2.99
AFAM,206,1,MW 11.35-12.50,WLH 203,4.51,3.55
AFAM,212,1,W 9.25-11.15,BRBL 9,4.49,2.87
AFAM,220,1,M 15.30-18.20,CCAM,4.0,3.33
AFAM,231,1,1 HTBA,,3.75,3.31
AFAM,275,1,T 15.30-17.20,WALL81 401,4.05,3.24
AFAM,287,1,T 13.30-15.20,WALL81 301,3.83,3.0
AFAM,331,1,W 13.30-15.20,WALL81 401,,
AFAM,335,1,W 15.30-17.20,WALL81 401,,
AFAM,348,1,T 13.30-15.20,WLH 112,4.63,3.73
AFAM,349,1,T 13.30-15.20,WALL81 101,4.71,3.29
AFAM,352,1,W 13.30-15.20,BASSLB L72,4.8,3.42
AFAM,353,1,W 13.30-15.20,LORIA 358,4.0,2.8
AFAM,361,1,M 15.30-17.20,WALL81 101,4.06,3.1
AFAM,385,1,Th 13.30-15.20,WALL81 401,3.69,3.34
AFAM,401,1,TTh 16.00-17.15,WLH 001,4.6,3.2
AFAM,406,1,M 13.30-15.20,WALL81 201,4.12,2.61
AFAM,410,1,T 9.25-11.15,WALL81 201,3.54,3.27
AFAM,413,1,1 HTBA,,3.8,3.3
AFAM,451,1,1 HTBA,,,
AFAM,472,1,1 HTBA,,,
AFAM,491,1,1 HTBA,,3.8200000000000003,4.22
AFAM,491,2,1 HTBA,,3.8200000000000003,4.22
AFAM,508,1,Th 13.30-15.20,LORIA 360,3.95,2.9
AFAM,588,1,M 13.30-15.20,WALL81 201,4.18,2.88
AFAM,626,1,M 13.30-15.20,CO493 103,,
AFAM,670,1,M 13.30-15.20,WALL81 301,4.54,3.32
AFAM,725,1,W 13.30-15.20,YK220 002,4.65,3.42
AFAM,752,1,M 9.25-11.15,WALL81 201,4.82,3.46
AFAM,757,1,W 9.25-11.15,PR230 101,4.19,3.6
AFAM,770,1,M 15.30-17.20,WALL81 201,4.42,3.64
