id,yesterday,today,change,absChange,name,codes
2517,658,667,9,9,Bioethics and Law,PLSC 257
1442,45,37,-8,8,Yale and America,HIST 134J
2607,155,147,-8,8,Attraction and Relationships,PSYC 126
1472,143,136,-7,7,Tolstoy's War and Peace,HIST 260 / HUMS 255 / LITR 253 / RSEE 312 / RUSS 312
2511,51,44,-7,7,PresidentlCampaigns&theMedia,PLSC 236
1062,126,121,-5,5,The History of Food,EVST 189 / HIST 246
1548,89,84,-5,5,Health of the Public,HLTH 140 / SOCY 126
1669,24,19,-5,5,Iconic Material Culture,HUMS 247 / SOCY 352
1688,141,136,-5,5,Life Worth Living,HUMS 411
2294,241,236,-5,5,"Drugs, Brain, and Behavior",NSCI 161 / PSYC 161
